artist,score,category
Peter Max,0.99715996,weird
Roy Lichtenstein,0.98272276,cartoon
Romero Britto,0.9498342,scribbles
Keith Haring,0.9431302,weird
Hiroshige,0.93995106,ukioe
Joan Miró,0.9169429,scribbles
Jean-Michel Basquiat,0.90080947,scribbles
Katsushika Hokusai,0.8887236,ukioe
Paul Klee,0.8868682,scribbles
Marc Chagall,0.8868168,scribbles
Karl Schmidt-Rottluff,0.88444495,scribbles
Howard Hodgkin,0.8808578,scribbles
Jean Metzinger,0.88056004,scribbles
Alma Thomas,0.87658304,weird
Rufino Tamayo,0.8749848,scribbles
Utagawa Hiroshige,0.8728796,ukioe
Chagall,0.8718535,scribbles
Harumi Hironaka,0.86914605,scribbles
Hans Hofmann,0.8686159,scribbles
Kawanabe Kyōsai,0.86612236,ukioe
Andy Warhol,0.8654825,scribbles
Barbara Takenaga,0.86223894,scribbles
Tatsuro Kiuchi,0.8597267,cartoon
Vincent Van Gogh,0.85538065,scribbles
Wassily Kandinsky,0.85490596,scribbles
Georges Seurat,0.8534801,scribbles
Karel Appel,0.8529153,scribbles
Sonia Delaunay,0.8506156,scribbles
Hokusai,0.85046995,ukioe
Eduardo Kobra,0.85036755,weird
Fra Angelico,0.84984255,fineart
Milton Avery,0.849746,scribbles
David Hockney,0.8496144,scribbles
Hiroshi Nagai,0.847129,cartoon
Aristarkh Lentulov,0.846537,scribbles
Lyonel Feininger,0.84573764,scribbles
Mary Blair,0.845709,scribbles
Ellsworth Kelly,0.8455428,scribbles
Jun Kaneko,0.8448367,scribbles
Roz Chast,0.8432013,weird
Ida Rentoul Outhwaite,0.84275174,scribbles
Robert Motherwell,0.8409468,scribbles
Garry Winogrand,0.83994275,black-white
Andrei Rublev,0.83950496,fineart
Alexander Calder,0.83832693,scribbles
Tomokazu Matsuyama,0.8376121,scribbles
August Macke,0.8362022,scribbles
Kazimir Malevich,0.8356527,scribbles
Richard Scarry,0.83554685,scribbles
Victor Vasarely,0.8335438,scribbles
Kitagawa Utamaro,0.83333457,ukioe
Matt Bors,0.83252287,scribbles
Emil Nolde,0.8323225,scribbles
Patrick Caulfield,0.8322225,scribbles
Charles Blackman,0.83200824,scribbles
Peter Doig,0.83111644,scribbles
Alexej von Jawlensky,0.8308932,scribbles
Rumiko Takahashi,0.8301817,anime
Eileen Agar,0.82945526,scribbles
Ernst Ludwig Kirchner,0.82756275,scribbles
Nicolas Delort,0.8261329,scribbles
Marsden Hartley,0.8250993,scribbles
Keith Negley,0.8212553,scribbles
Jamini Roy,0.8212199,scribbles
Quentin Blake,0.82115215,scribbles
Andy Kehoe,0.82063186,cartoon
George barbier,0.82046914,fineart
Frans Masereel,0.81997275,scribbles
Umberto Boccioni,0.81921184,scribbles
Conrad Roset,0.8190752,cartoon
Paul Ranson,0.81903255,scribbles
Yayoi Kusama,0.81886625,weird
Tomi Ungerer,0.81848705,scribbles
Saul Steinberg,0.81778854,scribbles
Jon Klassen,0.81773067,scribbles
W.W. Denslow,0.81708044,fineart
Helen Frankenthaler,0.81704986,scribbles
Jean Jullien,0.816437,scribbles
Brett Whiteley,0.81601924,scribbles
Giotto Di Bondone,0.81427747,fineart
Takashi Murakami,0.81338763,weird
Howard Finster,0.81333554,scribbles
Eduardo Paolozzi,0.81312317,scribbles
Charles Rennie Mackintosh,0.81297064,scribbles
Brandon Mably,0.8128239,weird
Rebecca Louise Law,0.81214285,weird
Victo Ngai,0.81195843,cartoon
Hanabusa Itchō II,0.81187993,ukioe
Edmund Dulac,0.81104875,scribbles
Ben Shahn,0.8104582,scribbles
Howard Arkley,0.8103746,scribbles
Wilfredo Lam,0.8096211,scribbles
Michael Deforge,0.8095954,scribbles
John Hoyland,0.8094592,fineart
Francesco Clemente,0.8090387,scribbles
Leonetto Cappiello,0.8087691,scribbles
Norman Ackroyd,0.80788493,scribbles
Bhupen Khakhar,0.8077607,scribbles
Jeremiah Ketner,0.8075384,cartoon
Chris Ofili,0.8073793,scribbles
Banksy,0.80695426,scribbles
Tom Whalen,0.805867,scribbles
Ernst Wilhelm Nay,0.805295,scribbles
Henri Rousseau,0.8049866,scribbles
Kunisada,0.80493814,ukioe
Naoko Takeuchi,0.80482674,anime
Kaethe Butcher,0.80406916,scribbles
Hasui Kawase,0.8040483,ukioe
Alvin Langdon Coburn,0.8035004,black-white
Stanley Donwood,0.8033054,scribbles
Agnes Martin,0.8028028,scribbles
Osamu Tezuka,0.8005524,cartoon
Frank Stella,0.80049455,scribbles
Dale Chihuly,0.79982775,digipa-high-impact
Evgeni Gordiets,0.79967916,scribbles
Janek Sedlar,0.7993992,fineart
Alasdair Gray,0.7992301,scribbles
Yasuo Kuniyoshi,0.79870003,ukioe
Edward Gorey,0.7984938,scribbles
Johannes Itten,0.798481,scribbles
Cuno Amiet,0.7979497,scribbles
M.C. Escher,0.7976657,scribbles
Albert Irvin,0.79688835,scribbles
Jack Gaughan,0.79443675,scribbles
Ravi Zupa,0.7939542,scribbles
Kay Nielsen,0.79385525,scribbles
Agnolo Gaddi,0.79369193,fineart
Alessandro Gottardo,0.79321593,scribbles
Paul Laffoley,0.79196846,scribbles
Giovanni Battista Piranesi,0.79111177,fineart
Adrian Tomine,0.79109013,scribbles
Adolph Gottlieb,0.79061794,scribbles
Milton Caniff,0.7905358,cartoon
Philip Guston,0.78994095,scribbles
Debbie Criswell,0.7895031,cartoon
Alice Pasquini,0.78949904,cartoon
Johannes Vermeer,0.78931487,fineart
Lisa Frank,0.7892591,cartoon
Patrick Heron,0.78889126,scribbles
Mikhail Nesterov,0.78814346,fineart
Cézanne,0.7879481,scribbles
Tristan Eaton,0.787513,scribbles
Jillian Tamaki,0.7868066,scribbles
Takato Yamamoto,0.78460765,ukioe
Martiros Saryan,0.7844924,scribbles
Emil Orlik,0.7842625,scribbles
Armand Guillaumin,0.7840431,scribbles
Jane Newland,0.7837676,scribbles
Paul Cézanne,0.78368753,scribbles
Tove Jansson,0.78356475,scribbles
Guido Crepax,0.7835321,cartoon
OSGEMEOS,0.7829088,weird
Albert Watson,0.48901254,digipa-med-impact
Emory Douglas,0.78179604,scribbles
Chris Van Allsburg,0.66413003,fineart
Ohara Koson,0.78132576,ukioe
Nicolas de Stael,0.7802779,scribbles
Aubrey Beardsley,0.77970016,scribbles
Hishikawa Moronobu,0.7794119,ukioe
Alfred Wallis,0.77926695,scribbles
Friedensreich Hundertwasser,0.7791805,scribbles
